GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TailwindFX Base,io.github.yasmramos.tailwindfx.animation,TwAnimation.AnimationRegistry,11,82,2,4,3,24,3,9,2,7
TailwindFX Base,io.github.yasmramos.tailwindfx.animation,TwAnimation,1141,1136,18,10,159,149,45,31,33,29
TailwindFX Base,io.github.yasmramos.tailwindfx.animation,TwAnimation.ResponsiveAnimationGuard,176,21,44,0,41,8,27,1,5,1
TailwindFX Base,io.github.yasmramos.tailwindfx.core,JitCompiler.BatchResult,0,17,0,2,0,2,0,3,0,2
TailwindFX Base,io.github.yasmramos.tailwindfx.core,VariantManager,353,341,89,53,105,97,78,29,20,10
TailwindFX Base,io.github.yasmramos.tailwindfx.core,CssPropertyMapper,734,494,223,99,237,106,213,60,14,14
TailwindFX Base,io.github.yasmramos.tailwindfx.core,VariantParser,10,646,10,91,3,134,11,71,1,11
TailwindFX Base,io.github.yasmramos.tailwindfx.core,Preconditions,163,89,24,14,34,22,22,13,8,8
TailwindFX Base,io.github.yasmramos.tailwindfx.core,StyleResolver,27,235,10,23,6,40,10,15,0,7
TailwindFX Base,io.github.yasmramos.tailwindfx.core,ComponentStyles,840,0,34,0,119,0,38,0,21,0
TailwindFX Base,io.github.yasmramos.tailwindfx.core,UtilityConflictResolver,135,1672,27,43,38,124,28,29,8,14
TailwindFX Base,io.github.yasmramos.tailwindfx.core,VariantParser.VariantResult,0,49,0,4,0,10,0,8,0,6
TailwindFX Base,io.github.yasmramos.tailwindfx.core,JitCompiler,290,611,93,96,51,165,66,49,2,15
TailwindFX Base,io.github.yasmramos.tailwindfx.core,VariantManager.ResponsiveBinding,0,12,0,0,0,1,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx.core,ThemeCssGenerator,12,455,3,21,2,62,3,19,0,10
TailwindFX Base,io.github.yasmramos.tailwindfx.core,JitCompiler.CompileResult,0,55,2,6,0,6,2,8,0,6
TailwindFX Base,io.github.yasmramos.tailwindfx.i18n,TwI18n,204,128,13,1,57,40,19,13,12,13
TailwindFX Base,io.github.yasmramos.tailwindfx.i18n,TwI18n.new ResourceBundle() {...},2,5,0,0,1,2,1,2,1,2
TailwindFX Base,io.github.yasmramos.tailwindfx.layout,TwFlexPane,1558,915,175,68,269,217,117,74,13,50
TailwindFX Base,io.github.yasmramos.tailwindfx.layout,TwGridPane,998,378,89,33,160,76,77,32,29,19
TailwindFX Base,io.github.yasmramos.tailwindfx.layout,TwFlexPane.AlignContent,0,45,0,0,0,8,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx.layout,TwFlexPane.Direction,0,15,0,0,0,3,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx.layout,TwFlexPane.Align,0,27,0,0,0,5,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx.layout,TwFlexPane.new ChangeListener() {...},0,30,1,1,0,6,1,2,0,2
TailwindFX Base,io.github.yasmramos.tailwindfx.layout,TwFlexPane.Justify,0,39,0,0,0,7,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx.layout,TwGridPane.Builder,0,106,0,4,0,36,0,14,0,12
TailwindFX Base,io.github.yasmramos.tailwindfx.layout,TwFlexPane.FlexData,83,0,8,0,14,0,6,0,2,0
TailwindFX Base,io.github.yasmramos.tailwindfx.layout,TwGridPane.AutoFlow,0,27,0,0,0,5,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx.metrics,TailwindFXMetrics.HealthIssue,8,12,0,0,1,1,1,1,1,1
TailwindFX Base,io.github.yasmramos.tailwindfx.metrics,TailwindFXMetrics,401,659,47,37,54,121,43,41,13,29
TailwindFX Base,io.github.yasmramos.tailwindfx.responsive,ContainerQuery.CustomBreakpoint,0,11,0,0,0,4,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx.responsive,ResponsiveNode,109,91,18,4,25,25,15,5,4,5
TailwindFX Base,io.github.yasmramos.tailwindfx.responsive,ContainerQuery,39,492,25,55,12,103,26,33,1,18
TailwindFX Base,io.github.yasmramos.tailwindfx.responsive,ResponsiveNode.Builder,52,33,2,0,13,7,9,2,8,2
TailwindFX Base,io.github.yasmramos.tailwindfx.breakpoint,BreakpointManager,321,203,55,13,49,44,44,17,14,13
TailwindFX Base,io.github.yasmramos.tailwindfx.breakpoint,BreakpointManager.CustomBuilder,34,0,0,0,6,0,4,0,4,0
TailwindFX Base,io.github.yasmramos.tailwindfx.breakpoint,BreakpointManager.CustomBreakpoint,9,0,0,0,1,0,1,0,1,0
TailwindFX Base,io.github.yasmramos.tailwindfx.breakpoint,BreakpointManager.BpListener,18,0,0,0,3,0,2,0,2,0
TailwindFX Base,io.github.yasmramos.tailwindfx.breakpoint,BreakpointManager.Breakpoint,0,89,0,4,0,14,0,5,0,3
TailwindFX Base,io.github.yasmramos.tailwindfx.breakpoint,BreakpointManager.BP,13,0,0,0,6,0,1,0,1,0
TailwindFX Base,io.github.yasmramos.tailwindfx,TailwindFX,12,55,0,0,5,27,4,16,4,16
TailwindFX Base,io.github.yasmramos.tailwindfx,TwLayout.Builder.Snap,0,45,0,0,0,1,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx,TwLayout,342,44,58,0,87,14,45,5,16,5
TailwindFX Base,io.github.yasmramos.tailwindfx,TwLayout.LayoutType,0,63,0,0,0,11,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx,TwMetrics,0,18,0,0,0,7,0,5,0,5
TailwindFX Base,io.github.yasmramos.tailwindfx,TwBatch,0,11,0,0,0,5,0,3,0,3
TailwindFX Base,io.github.yasmramos.tailwindfx,TwConfig,0,34,0,2,0,14,0,7,0,6
TailwindFX Base,io.github.yasmramos.tailwindfx,TwInstall,68,75,10,0,13,29,8,7,3,7
TailwindFX Base,io.github.yasmramos.tailwindfx,TwTheme,14,11,0,0,5,4,4,3,4,3
TailwindFX Base,io.github.yasmramos.tailwindfx,TwLayout.Builder,749,964,127,124,121,227,131,79,40,36
TailwindFX Base,io.github.yasmramos.tailwindfx,TwStyle,725,1329,194,186,156,229,133,87,4,26
TailwindFX Base,io.github.yasmramos.tailwindfx,TwStyle.new Object() {...},0,3,0,0,0,1,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx,TwResponsive,13,36,3,3,3,9,2,5,0,4
TailwindFX Base,io.github.yasmramos.tailwindfx,TwEffect,0,20,0,0,0,6,0,3,0,3
TailwindFX Base,io.github.yasmramos.tailwindfx.components,TwDataTable.ColDef,0,12,0,0,0,1,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx.components,TWAccordion,92,0,8,0,24,0,9,0,5,0
TailwindFX Base,io.github.yasmramos.tailwindfx.components,TwAlert.AlertType,0,27,0,0,0,5,0,1,0,1
TailwindFX Base,io.github.yasmramos.tailwindfx.components,TwDataTable.Builder,22,71,0,2,6,20,3,7,3,6
